Date,Time,Id,Route,Direction,Name,MlDetPostmile,pcw1occ,pcw1speed,pcw1vol,r_1_offcnt,r_2_offcnt,Psg 1 Cnt,Psg 2 Cnt,Psg 3 Cnt,Mainline Lanes
2021/02/11,05:30:00,344,78,EB,78 EB W/O Jefferson St,0.415,1.6,61,213,,,,,,0xF0 
2021/02/11,05:30:00,201,78,EB,Jefferson St to 78 EB,0.858,1.4,73,213,0,0,0,0,0,0xE0 
2021/02/11,05:30:00,200,78,EB,El Camino Real to 78 EB,1.594,2.5,63,335,1,,3,3,,0xE0 
2021/02/11,05:30:00,470,78,EB,78 EB @ College Blvd,3.2235,3.7,54,426,,,0,2,0,0xFC 
2021/02/11,05:30:00,199,78,EB,Plaza Dr to 78 EB,3.586,2.1,59,274,0,0,0,0,,0xFC 
2021/02/11,05:30:00,24,78,EB,Emerald Dr to 78 EB,4.474,3.0,52,335,0,0,0,0,,0xFC 
2021/02/11,05:30:00,205,78,EB,Vista Village Dr to 78 EB,6.32,3.0,79,517,0,0,0,4,1,0xE0 
2021/02/11,05:30:00,198,78,EB,Escondido Ave to 78 EB,6.886,3.3,78,548,0,1,2,4,,0xE0 
2021/02/11,05:30:00,197,78,EB,Mar Vista Dr to 78 EB,7.796,5.6,71,853,0,,1,0,,0xE0 
2021/02/11,05:30:00,203,78,EB,Sycamore Ave to 78 EB,9.218,4.1,70,609,8,0,0,2,2,0xE0 
2021/02/11,05:30:00,152,78,EB,Rho Santa Fe Rd to 78 EB,10.68,4.6,65,639,1,1,0,0,,0xE0 
2021/02/11,05:30:00,398,78,EB,Las Posas Rd/Grand Ave to 78 EB,11.364,4.4,87,822,0,1,0,3,,0xE0 
2021/02/11,05:30:00,180,78,EB,San Marcos Blvd to 78 EB,12.274,3.4,80,578,0,0,0,0,0,0xE0 
2021/02/11,05:30:00,234,78,EB,Twin Oaks Vlly Rd to 78 EB,13.022,3.9,65,548,1,1,0,2,0,0xE0 
2021/02/11,05:30:00,236,78,EB,Barham/Woodland to 78 EB,14.86,4.8,59,609,,,0,1,,0xFC 
2021/02/11,05:30:00,13006,78,EB,Nordahl Rd to 78 EB,15.596,5.2,59,670,0,3,0,2,,0xE0 
2021/02/11,05:30:00,13015,78,EB,78 EB E/O Nordahl,15.9155,5.5,61,731,,,,,,0xF0 
2021/02/11,05:30:00,13014,78,EB,78 EB W/O 15,16.2677,4.9,64,670,,,,,,0xE0 
2021/02/11,05:30:00,23014,78,EB,15 Connector from 78 EB,16.2683,4.9,64,670,,,,,,0xC0 
2021/02/11,05:30:00,443,78,EB,78 EB W/O Broadway/Lincoln,17.681,0.0,0,0,,,11,8,1,0xEC 
2021/02/11,05:31:00,344,78,EB,78 EB W/O Jefferson St,0.415,1.5,58,182,,,,,,0xF0 
2021/02/11,05:31:00,201,78,EB,Jefferson St to 78 EB,0.858,1.1,75,182,0,1,0,0,0,0xE0 
2021/02/11,05:31:00,200,78,EB,El Camino Real to 78 EB,1.594,1.7,65,243,0,,2,2,,0xE0 
2021/02/11,05:31:00,470,78,EB,78 EB @ College Blvd,3.2235,4.0,57,487,,,0,0,0,0xFC 
2021/02/11,05:31:00,199,78,EB,Plaza Dr to 78 EB,3.586,2.6,60,335,0,0,0,1,,0xFC 
2021/02/11,05:31:00,24,78,EB,Emerald Dr to 78 EB,4.474,2.7,70,396,0,1,2,1,,0xFC 
2021/02/11,05:31:00,205,78,EB,Vista Village Dr to 78 EB,6.32,2.4,76,396,1,0,0,3,2,0xE0 
2021/02/11,05:31:00,198,78,EB,Escondido Ave to 78 EB,6.886,3.9,79,670,0,1,0,0,,0xE0 
2021/02/11,05:31:00,197,78,EB,Mar Vista Dr to 78 EB,7.796,5.0,77,822,1,,0,1,,0xE0 
