Date,Time,Id,Route,Direction,Name,MlDetPostmile,pcw1occ,pcw1speed,pcw1vol,r_1_offcnt,r_2_offcnt,Psg 1 Cnt,Psg 2 Cnt,Psg 3 Cnt,Mainline Lanes
2021/02/11,05:30:00,345,78,WB,78 WB W/O Jefferson St,0.416,9.3,3,60,,,,,,0xF0 
2021/02/11,05:30:00,190,78,WB,Jefferson St to 78 WB,0.653,3.6,64,487,0,1,0,0,0,0xE0 
2021/02/11,05:30:00,191,78,WB,El Camino Real to 78 WB,1.387,3.8,64,517,0,1,1,2,,0xE0 
2021/02/11,05:30:00,66,78,WB,College Blvd SB to 78 WB,3.245,3.7,54,426,,,0,2,0,0xFC 
2021/02/11,05:30:00,270,78,WB,College Blvd NB to 78 WB,3.33,4.0,60,517,1,2,0,1,,0xE0 
2021/02/11,05:30:00,471,78,WB,78 WB E/O College Blvd,3.588,2.1,59,274,0,0,0,0,,0xFC 
2021/02/11,05:30:00,192,78,WB,Emerald Dr to 78 WB,4.285,3.9,69,578,,,0,0,,0xE0 
2021/02/11,05:30:00,473,78,WB,78 WB E/O Emerald Dr,4.476,3.0,52,335,0,0,0,0,,0xFC 
2021/02/11,05:30:00,193,78,WB,Melrose/West Vista Way to 78 WB,5.801,2.7,75,426,,,1,1,,0xE0 
2021/02/11,05:30:00,204,78,WB,Vista Village Dr to 78 WB,6.141,1.6,81,274,0,0,0,2,,0xE0 
2021/02/11,05:30:00,194,78,WB,Civic Center Dr to 78 WB,6.855,1.9,84,335,0,0,0,0,,0xE0 
2021/02/11,05:30:00,195,78,WB,Mar Vista Dr to 78 WB,7.763,2.3,75,365,1,,0,0,,0xE0 
2021/02/11,05:30:00,202,78,WB,Sycamore Ave to 78 WB,8.973,2.5,86,457,3,4,0,1,2,0xE0 
2021/02/11,05:30:00,196,78,WB,Rho Santa Fe Rd to 78 WB,10.439,4.0,78,670,3,2,0,1,,0xE0 
2021/02/11,05:30:00,456,78,WB,off to Rho Sante Fe/bypass lane,11.098,3.4,80,578,1,6,1,1,,0xF0 
2021/02/11,05:30:00,397,78,WB,Las Posas Rd to 78 WB,11.099,3.4,80,578,1,6,1,1,,0xF0 
2021/02/11,05:30:00,271,78,WB,San Marcos Blvd SB to 78 WB,12.035,5.5,70,822,,,0,0,,0xE0 
2021/02/11,05:30:00,179,78,WB,San Marcos Blvd NB to 78 WB,12.271,6.1,58,761,0,3,0,,,0xE0 
2021/02/11,05:30:00,302,78,WB,Twin Oaks Vlly Rd SB to 78 WB,12.805,0.0,0,0,,,0,0,,0x00 
2021/02/11,05:30:00,233,78,WB,Twin Oaks Vlly Rd NB to 78 WB,12.879,6.7,61,883,3,0,0,0,,0xE0 
2021/02/11,05:30:00,235,78,WB,Barham/Woodland to 78 WB,14.14,6.7,61,883,1,,0,2,,0xE0 
2021/02/11,05:30:00,472,78,WB,78 WB W/O Nordahl,14.862,4.8,59,609,,,0,1,,0xFC 
2021/02/11,05:30:00,13007,78,WB,Nordahl Rd to 78 WB,15.37,6.9,65,975,1,4,0,2,,0xE0 
2021/02/11,05:30:00,13005,78,WB,78 WB E/O Nordahl,15.915,5.5,61,731,,,,,,0xF0 
2021/02/11,05:30:00,13004,78,WB,78 WB W/O 15,16.267,4.9,64,670,,,,,,0xF8 
2021/02/11,05:30:00,23004,78,WB,78 WB Connector from 15 NB,16.27,4.9,64,670,,,,,,0xF8 
2021/02/11,05:30:00,33004,78,WB,78 WB Connector from 15 SB,16.272,4.9,64,670,,,,,,0xF8 
2021/02/11,05:30:00,239,78,WB,Centre City Pkwy SB to 78 WB,17.283,6.7,55,792,,,0,4,,0xE0 
2021/02/11,05:30:00,240,78,WB,Centre City Pkwy NB to 78 WB,17.34,0.0,0,0,,,0,1,,0x00 
2021/02/11,05:30:00,250,78,WB,Broadway/Lincoln to 78 WB,17.621,0.0,0,0,,,11,8,1,0xEC 
2021/02/11,05:31:00,345,78,WB,78 WB W/O Jefferson St,0.416,9.9,7,152,,,,,,0xF0 
2021/02/11,05:31:00,190,78,WB,Jefferson St to 78 WB,0.653,4.1,65,578,0,1,0,0,0,0xE0 
2021/02/11,05:31:00,191,78,WB,El Camino Real to 78 WB,1.387,5.7,67,822,2,0,0,1,,0xE0 
2021/02/11,05:31:00,66,78,WB,College Blvd SB to 78 WB,3.245,4.0,57,487,,,0,0,0,0xFC 
2021/02/11,05:31:00,270,78,WB,College Blvd NB to 78 WB,3.33,3.3,65,457,1,0,1,4,,0xE0 
2021/02/11,05:31:00,471,78,WB,78 WB E/O College Blvd,3.588,2.6,60,335,0,0,0,1,,0xFC 
2021/02/11,05:31:00,192,78,WB,Emerald Dr to 78 WB,4.285,2.5,74,396,,,1,1,,0xE0 
2021/02/11,05:31:00,473,78,WB,78 WB E/O Emerald Dr,4.476,2.7,70,396,0,1,2,1,,0xFC 
2021/02/11,05:31:00,193,78,WB,Melrose/West Vista Way to 78 WB,5.801,3.0,76,487,,,0,0,,0xE0 
2021/02/11,05:31:00,204,78,WB,Vista Village Dr to 78 WB,6.141,1.8,79,304,2,1,0,4,,0xE0 
2021/02/11,05:31:00,194,78,WB,Civic Center Dr to 78 WB,6.855,2.0,79,335,0,1,0,0,,0xE0 
2021/02/11,05:31:00,195,78,WB,Mar Vista Dr to 78 WB,7.763,3.0,76,487,1,,0,1,,0xE0 
2021/02/11,05:31:00,202,78,WB,Sycamore Ave to 78 WB,8.973,2.4,76,396,1,3,0,0,0,0xE0 
2021/02/11,05:31:00,196,78,WB,Rho Santa Fe Rd to 78 WB,10.439,3.6,79,609,2,5,0,4,,0xE0 
2021/02/11,05:31:00,456,78,WB,off to Rho Sante Fe/bypass lane,11.098,3.6,79,609,0,3,0,0,,0xF0 
2021/02/11,05:31:00,397,78,WB,Las Posas Rd to 78 WB,11.099,3.6,79,609,0,3,0,0,,0xF0 
2021/02/11,05:31:00,271,78,WB,San Marcos Blvd SB to 78 WB,12.035,5.6,70,853,,,0,0,,0xE0 
2021/02/11,05:31:00,179,78,WB,San Marcos Blvd NB to 78 WB,12.271,6.3,63,853,3,4,0,,,0xE0 
